,website,date,city,STATE,category of place,Nazi Reference,target,location,place,"('latitude', 'longitude')"
0,https://www.nbcnews.com/news/us-news/costumed-tattooed-man-arrested-over-oklahoma-store-disturbance-n489121,2016-01-01,Broken Arrow,OK,local business,No,,"Broken Arrow, OK","Broken Arrow, Tulsa County, Oklahoma, United States of America","(36.0525993, -95.7908195)"
1,https://www.firstcoastnews.com/article/news/local/civil-rights-group-condemns-defacement-of-trump-poster/77-17717865,2016-01-05,Jacksonville,FL,local business,yes,Trump Supporter,"Jacksonville, FL","Jacksonville, Duval County, Florida, United States of America","(30.3321838, -81.655651)"
2,https://www.ktnv.com/news/more-racist-letters-prompt-federal-involvement,2016-01-07,Spring Valley,NV,private property,No,Non-White,"Spring Valley, NV","Spring Valley, Clark County, Nevada, NV 89113, United States of America","(36.1111425, -115.2428688)"
3,https://www.dailytargum.com/article/2016/02/rutgers-administration-responds-to-jan-15-hate-crime-allegations,2016-01-15,New Brunswick,NJ,college,No,Jewish Community,"New Brunswick, NJ","New Brunswick, Middlesex County, New Jersey, United States of America","(40.4862174, -74.4518173)"
4,https://newyork.cbslocal.com/2016/01/15/rocky-point-swastikas/,2016-01-15,Rocky Point,NY,private property,No,,"Rocky Point, NY","Rocky Point, Suffolk County, New York, 11778, United States of America","(40.9525987, -72.9253805)"
5,https://www.mycentraljersey.com/story/news/crime/jersey-mayhem/2017/01/26/swastika-white-power-graffiti-appears-jackson-road/97093194/,2016-01-20,Jackson,NJ,public space,No,,"Jackson, NJ","Jackson, Ocean County, New Jersey, United States of America","(40.1151766, -74.3647772)"
6,https://www.bostonglobe.com/metro/2016/05/06/lapses-cited-after-graffiti-found-newton-school/qUx9LkafURxdhwn8QHbl6K/story.html,2016-01-22,Newtonville,MA,K-12,No,,"Newtonville, MA","Newtonville, Middlesex County, Massachusetts, 02460, United States of America","(42.3500968, -71.2036659)"
7,https://www.latimes.com/local/lanow/la-me-ln-swastika-donald-trump-hollywood-star-20160201-story.html,2016-01-29,Hollywood,CA,public space,No,,"Hollywood, CA","Hollywood, Assembly Way, Metropolis at Metrotown, Metrotown, Burnaby, Metro Vancouver, British Columbia, V5H 4M1, Canada","(49.2270892, -123.0008188)"
8,https://www.westernfrontonline.com/2016/06/02/antisemitic-incidents-on-campus-revealed/,2016-01-31,Bellingham,WA,college,No,Jewish Community,"Bellingham, WA","Bellingham, Whatcom County, Washington, United States of America","(48.754402, -122.4788602)"
9,http://westseattleblog.com/2016/02/sidewalk-swastika-outside-junction-business-for-second-time-in-half-a-year/,2016-02-02,Seattle,WA,local business,No,Jewish Community,"Seattle, WA","Seattle, King County, Washington, United States of America","(47.6038321, -122.3300624)"
10,http://www.nbcphiladelphia.com/news/local/Temple-University-Swastika-Racial-Slur-Snow-Car-Police-Philadelphia--367924781.html,2016-02-05,Philadelphia,PA,college,No,Black American Community,"Philadelphia, PA","Philadelphia, Philadelphia County, Pennsylvania, United States of America","(39.9523993, -75.1635899)"
11,https://thetab.com/us/rutgers/2016/02/18/swastika-3563,2016-02-12,New Brunswick,NJ,college,No,Jewish Community,"New Brunswick, NJ","New Brunswick, Middlesex County, New Jersey, United States of America","(40.4862174, -74.4518173)"
12,https://badgerherald.com/news/2016/02/18/uw-officials-respond-to-swastika-bias-incident-in-campus-dorm/,2016-02-18,Madison,WI,college,No,Jewish Community,"Madison, WI","Madison, Dane County, Wisconsin, United States of America","(43.074761, -89.3837613)"
13,https://calcoastnews.com/2016/03/swastikas-racial-slurs-scribbled-on-cal-poly-apartment/,2016-02-23,San Luis Obispo,CA,college,No,Non-White,"San Luis Obispo, CA","San Luis Obispo, San Luis Obispo County, California, United States of America","(35.2827525, -120.6596156)"
14,http://newton.wickedlocal.com/news/20160225/officials-reviewing-protocols-after-two-antisemitic-incidents-at-newtons-day-middle-school,2016-02-25,Newtonville,MA,K-12,No,,"Newtonville, MA","Newtonville, Middlesex County, Massachusetts, 02460, United States of America","(42.3500968, -71.2036659)"
15,https://thehill.com/blogs/ballot-box/271287-trump-swastika-sign-reported-in-houston,2016-03-01,Houston,TX,public space,No,Trump Supporter,"Houston, TX","Houston, Harris County, Texas, 77002, United States of America","(29.7589382, -95.3676974)"
16,https://fox13now.com/2016/03/03/swastikas-in-sugar-house-posters-against-trump-offending-residents/,2016-03-03,Salt Lake City,NV,public space,No,Trump Supporter,"Salt Lake City, NV",,"(0, 0)"
17,https://fox59.com/news/swastikas-found-at-uindy-purdue-university/,2016-03-04,Indianapolis,IA,college,No,Jewish Community,"Indianapolis, IA","Indianapolis, Mahaska County, Iowa, United States of America","(41.3969516, -92.4335195)"
18,http://newyork.cbslocal.com/2016/03/08/cedarhurst-swastikas/,2016-03-08,Cedarhurst,NY,private property,No,Jewish Community,"Cedarhurst, NY","Cedarhurst, Nassau County, New York, 11516, United States of America","(40.6226058, -73.7256873)"
19,http://fox59.com/2016/03/08/swastikas-found-at-uindy-purdue-university/,2016-03-08,Indianapolis,IA,college,No,,"Indianapolis, IA","Indianapolis, Mahaska County, Iowa, United States of America","(41.3969516, -92.4335195)"
20,http://www.nydailynews.com/news/national/northwestern-freshmen-paint-slurs-trump-chapel-article-1.2563021,2016-03-11,Chicago,IL,college,No,LGBTQ,"Chicago, IL","Chicago, Cook County, Illinois, United States of America","(41.8755546, -87.6244212)"
21,https://www.cleveland19.com/story/31517523/swastikas-spray-painted-on-trump-yard-signs/,2016-03-18,Olmstead Township,OH,private property,No,Trump Supporter,"Olmstead Township, OH","Olmstead, Brownstown Township, Wayne County, Michigan, 48192, United States of America","(42.174885, -83.257174)"
22,http://www.roanoke.com/news/local/roanoke_county/second-swastika-discovered-near-hollins-university-campus/article_ade2317f-efa6-5338-8903-6d74d9e5f649.html,2016-03-27,Roanoke,VA,college,No,,"Roanoke, VA","Roanoke, Virginia, United States of America","(37.274532, -79.9602096795782)"
23,https://www.timesofisrael.com/white-supremacist-claims-swastika-printing-hack-at-us-colleges,2016-03-28,Amherst,MA,college,No,Jewish Community,"Amherst, MA","Amherst, Hampshire, Massachusetts, United States of America","(42.3803676, -72.523143)"
24,http://www.nbcchicago.com/news/local/Pilsen-Church-Swastika-373932521.html,2016-03-29,Chicago,IL,religious institution,No,Latinx Community,"Chicago, IL","Chicago, Cook County, Illinois, United States of America","(41.8755546, -87.6244212)"
25,https://www.dnainfo.com/chicago/20160330/pilsen/rape-mexico-swastika-scrawled-on-pilsen-church-window-pastor-says/,2016-03-30,Chicago,IL,religious institution,No,Non-White,"Chicago, IL","Chicago, Cook County, Illinois, United States of America","(41.8755546, -87.6244212)"
26,https://www.algemeiner.com/2016/04/04/swastika-sprayed-on-jewish-fraternity-party-house-at-brandeis-university/,2016-04-01,Waltham,MA,college,No,Jewish Community,"Waltham, MA","Waltham, Middlesex County, Massachusetts, United States of America","(42.3756401, -71.2358004)"
27,http://news.keepmecurrent.com/police-mum-on-motive-for-swastika-painting/,2016-04-03,Scarborough,ME,private property,No,,"Scarborough, ME","Scarborough, Cumberland County, Maine, 04074, United States of America","(43.59622635, -70.3300556789045)"
28,https://www.dnainfo.com/chicago/20160708/pilsen/rape-kill-mexico-scrawled-on-pilsen-church-window-again-pastor-says/,2016-04-08,Chicago,IL,religious institution,No,Latinx Community,"Chicago, IL","Chicago, Cook County, Illinois, United States of America","(41.8755546, -87.6244212)"
29,https://www.usatoday.com/story/news/local/new-jersey/2016/04/08/students-pictured-playing-jews-vs-nazis-drinking-game/82787104/,2016-04-08,Princeton,NJ,virtual,No,,"Princeton, NJ","Princeton, Mercer County, New Jersey, NJ 08542, United States of America","(40.3492744, -74.6592958)"
30,http://chimes.biola.edu/story/2016/apr/28/swastika-drawing-unearths-preexisting-wounds/,2016-04-14,Los Angeles,CA,college,No,Black American Community,"Los Angeles, CA","LA, Los Angeles County, California, United States of America","(34.054935, -118.244476)"
